,precinct,prediction,observed,date,mae
2,122,49.55473346254341,43,2017-03-01,6.55473346254341
3,122,45.96582773597714,43,2017-04-01,2.965827735977143
4,122,42.81494077566291,57,2017-05-01,14.185059224337088
5,122,48.75010740203963,48,2017-06-01,0.7501074020396317
6,122,51.781739786665234,46,2017-07-01,5.781739786665234
7,122,47.21057130340814,58,2017-08-01,10.789428696591862
8,122,51.00067302877353,57,2017-09-01,5.999326971226473
9,122,56.44969753039955,43,2017-10-01,13.449697530399547
10,122,50.50327744248842,54,2017-11-01,3.496722557511582
11,122,48.371883639529884,51,2017-12-01,2.6281163604701163
12,122,51.506017144497825,51,2018-01-01,0.5060171444978252
13,122,50.81567995466298,55,2018-02-01,4.184320045337017
14,122,52.3744328455499,48,2018-03-01,4.374432845549897
15,122,51.26155761082061,41,2018-04-01,10.26155761082061
16,122,44.97621489495652,49,2018-05-01,4.02378510504348
17,122,44.55375761312026,44,2018-06-01,0.5537576131202613
18,122,45.776022409080646,48,2018-07-01,2.223977590919354
19,122,45.67309293866887,44,2018-08-01,1.6730929386688729
20,122,45.516010307597924,49,2018-09-01,3.4839896924020763
21,122,46.04397388131811,54,2018-10-01,7.956026118681891
22,122,50.4420465897429,61,2018-11-01,10.557953410257099
23,122,56.42324668304735,55,2018-12-01,1.4232466830473527
0,68,72.8587151840305,79,2017-01-01,6.141284815969499
1,68,75.72354672612423,50,2017-02-01,25.723546726124226
2,68,60.01943019417483,79,2017-03-01,18.98056980582517
3,68,69.18796157514129,72,2017-04-01,2.812038424858713
4,68,72.04517713899934,66,2017-05-01,6.045177138999335
5,68,68.96682295984395,74,2017-06-01,5.033177040156048
6,68,71.01820959742687,77,2017-07-01,5.981790402573125
7,68,74.7639900033955,81,2017-08-01,6.236009996604494
8,68,78.91248328813079,75,2017-09-01,3.9124832881307867
9,68,76.97893542583996,75,2017-10-01,1.978935425839964
10,68,75.44269830568102,55,2017-11-01,20.44269830568102
11,68,63.04600673392429,80,2017-12-01,16.953993266075713
12,68,71.04313618095057,47,2018-01-01,24.04313618095057
13,68,59.09818192906141,50,2018-02-01,9.098181929061411
14,68,51.381785856946436,54,2018-03-01,2.6182141430535637
15,68,51.52899439456773,58,2018-04-01,6.471005605432268
16,68,55.48939590416159,70,2018-05-01,14.51060409583841
17,68,64.13793460083505,48,2018-06-01,16.137934600835052
18,68,56.19231697291971,86,2018-07-01,29.807683027080287
19,68,70.37945326798487,79,2018-08-01,8.620546732015129
20,68,78.37100171942484,68,2018-09-01,10.37100171942484
21,68,73.61090055953743,60,2018-10-01,13.610900559537427
22,68,64.4732844553015,63,2018-11-01,1.4732844553014957
23,68,62.1979729236004,61,2018-12-01,1.1979729236004033
0,77,106.6760150176642,93,2017-01-01,13.676015017664199
1,77,99.75357414568572,84,2017-02-01,15.753574145685718
2,77,85.48476203589338,94,2017-03-01,8.515237964106618
3,77,89.72241077569765,97,2017-04-01,7.277589224302346
4,77,96.60956283143386,103,2017-05-01,6.390437168566137
5,77,101.12144417071958,86,2017-06-01,15.121444170719585
6,77,92.1903629654821,103,2017-07-01,10.809637034517905
7,77,95.73046105082535,118,2017-08-01,22.269538949174645
8,77,114.0732135652492,103,2017-09-01,11.073213565249205
9,77,109.22129802827104,95,2017-10-01,14.221298028271036
10,77,96.79800032745227,95,2017-11-01,1.7980003274522716
11,77,94.41460655497642,78,2017-12-01,16.414606554976416
12,77,83.6587637783507,90,2018-01-01,6.341236221649297
13,77,84.57768295761522,68,2018-02-01,16.577682957615224
14,77,76.20882652946754,80,2018-03-01,3.7911734705324562
15,77,74.02628287981823,89,2018-04-01,14.973717120181774
16,77,86.4185428099274,112,2018-05-01,25.581457190072598
17,77,104.74863625686135,97,2018-06-01,7.748636256861346
18,77,103.72717943962904,107,2018-07-01,3.2728205603709597
19,77,102.48573085220136,99,2018-08-01,3.485730852201357
20,77,102.44578781133286,99,2018-09-01,3.4457878113328633
21,77,98.39327028535176,92,2018-10-01,6.393270285351761
22,77,94.33155305084138,107,2018-11-01,12.668446949158621
23,77,101.25787854245337,79,2018-12-01,22.25787854245337
0,79,137.23178217286497,113,2017-01-01,24.231782172864968
1,79,119.26763915950991,95,2017-02-01,24.267639159509912
2,79,100.58622729720564,108,2017-03-01,7.413772702794361
3,79,105.7901090013043,113,2017-04-01,7.209890998695698
4,79,110.3452029692947,119,2017-05-01,8.654797030705296
5,79,116.84446688293036,127,2017-06-01,10.155533117069638
6,79,124.3520704368312,146,2017-07-01,21.647929563168802
7,79,140.66175576762572,157,2017-08-01,16.33824423237428
8,79,153.05049617137607,148,2017-09-01,5.050496171376068
9,79,149.49915919566143,151,2017-10-01,1.5008408043385657
10,79,151.08157379110534,131,2017-11-01,20.081573791105342
11,79,135.68934708171747,137,2017-12-01,1.3106529182825284
12,79,136.98378169069636,103,2018-01-01,33.98378169069636
13,79,110.76357580054861,97,2018-02-01,13.763575800548608
14,79,100.26374173744276,121,2018-03-01,20.736258262557243
15,79,115.3454665815523,118,2018-04-01,2.6545334184476985
16,79,116.74212428806034,144,2018-05-01,27.25787571193966
17,79,137.87877228454244,140,2018-06-01,2.1212277154575645
18,79,139.292876500581,165,2018-07-01,25.707123499418998
19,79,159.39209395895114,140,2018-08-01,19.392093958951136
20,79,144.8601343924447,140,2018-09-01,4.8601343924447065
21,79,141.48561263981347,135,2018-10-01,6.485612639813468
22,79,136.22271054557544,118,2018-11-01,18.22271054557544
23,79,122.3071100905835,93,2018-12-01,29.307110090583507
0,32,79.7873505161215,86,2017-01-01,6.212649483878494
1,32,84.1768565504149,55,2017-02-01,29.176856550414897
2,32,63.54382108463585,62,2017-03-01,1.5438210846358515
3,32,66.65491501865502,81,2017-04-01,14.345084981344982
4,32,72.65536406597451,85,2017-05-01,12.34463593402549
5,32,78.76617932250588,71,2017-06-01,7.766179322505877
6,32,74.17099764007428,83,2017-07-01,8.829002359925724
7,32,82.40699155546724,104,2017-08-01,21.593008444532757
8,32,94.10730394355127,64,2017-09-01,30.107303943551273
9,32,71.55545761965496,97,2017-10-01,25.44454238034504
10,32,95.43685186643138,77,2017-11-01,18.436851866431383
11,32,76.10751250637121,83,2017-12-01,6.892487493628792
12,32,85.4044771442841,80,2018-01-01,5.404477144284101
13,32,79.45985750435732,76,2018-02-01,3.4598575043573163
14,32,78.00340182848434,76,2018-03-01,2.0034018284843427
15,32,76.6912520078525,74,2018-04-01,2.6912520078524977
16,32,74.46834372263066,93,2018-05-01,18.531656277369336
17,32,85.99667988058148,84,2018-06-01,1.9966798805814818
18,32,82.68172403608328,117,2018-07-01,34.31827596391672
19,32,106.23827344146409,90,2018-08-01,16.238273441464088
20,32,93.40692757983112,86,2018-09-01,7.40692757983112
21,32,93.77215154566903,77,2018-10-01,16.772151545669033
22,32,81.20948293649082,80,2018-11-01,1.209482936490815
23,32,80.55283252412443,78,2018-12-01,2.552832524124426
0,45,109.07319915027921,82,2017-01-01,27.07319915027921
1,45,92.87710121067165,60,2017-02-01,32.877101210671654
2,45,72.91988704814806,91,2017-03-01,18.080112951851945
3,45,82.59012758758065,78,2017-04-01,4.590127587580653
4,45,78.1017487470305,84,2017-05-01,5.8982512529695015
5,45,83.64242025339182,104,2017-06-01,20.35757974660818
6,45,95.51473704620733,93,2017-07-01,2.5147370462073297
7,45,94.1988433173434,111,2017-08-01,16.801156682656597
8,45,105.94643888949889,93,2017-09-01,12.946438889498893
9,45,97.51611583457648,100,2017-10-01,2.483884165423518
10,45,100.10721465639725,92,2017-11-01,8.107214656397247
11,45,94.23381565044535,105,2017-12-01,10.76618434955465
12,45,101.22270360489868,80,2018-01-01,21.222703604898683
13,45,88.17328176469083,93,2018-02-01,4.826718235309173
14,45,91.39861470374942,106,2018-03-01,14.601385296250584
15,45,99.01879523228081,90,2018-04-01,9.018795232280809
16,45,94.59089227581569,81,2018-05-01,13.59089227581569
17,45,87.11722016297867,104,2018-06-01,16.88277983702133
18,45,96.24986746218265,96,2018-07-01,0.24986746218264955
19,45,95.61942664839876,111,2018-08-01,15.380573351601242
20,45,106.38895971123381,114,2018-09-01,7.6110402887661905
21,45,110.72746808266916,92,2018-10-01,18.727468082669162
22,45,100.66232028568754,95,2018-11-01,5.662320285687542
23,45,97.505598769556,115,2018-12-01,17.494401230443998
0,120,94.38076651348582,81,2017-01-01,13.380766513485824
1,120,86.50300660600546,83,2017-02-01,3.5030066060054565
2,120,83.2171375629977,58,2017-03-01,25.217137562997706
3,120,66.21642706322659,72,2017-04-01,5.78357293677341
4,120,67.99002999186943,81,2017-05-01,13.009970008130566
5,120,76.65847643230707,93,2017-06-01,16.34152356769293
6,120,88.12906133905888,113,2017-07-01,24.87093866094112
7,120,105.58252597140437,105,2017-08-01,0.5825259714043654
8,120,106.76529756373544,104,2017-09-01,2.7652975637354444
9,120,104.72563302253855,99,2017-10-01,5.7256330225385454
10,120,100.6990114832219,84,2017-11-01,16.699011483221895
11,120,89.15980361999355,77,2017-12-01,12.159803619993554
12,120,79.77097299633517,78,2018-01-01,1.7709729963351748
13,120,77.68888887098255,86,2018-02-01,8.311111129017448
14,120,83.02724324126548,86,2018-03-01,2.972756758734519
15,120,85.41925775522341,82,2018-04-01,3.4192577552234127
16,120,83.11107769393315,66,2018-05-01,17.111077693933154
17,120,71.19221624507117,71,2018-06-01,0.1922162450711653
18,120,69.70606961027552,86,2018-07-01,16.29393038972448
19,120,80.47201593025429,85,2018-08-01,4.527984069745713
20,120,84.37572523602616,72,2018-09-01,12.375725236026156
21,120,76.1047431577261,86,2018-10-01,9.895256842273895
22,120,81.74715866587903,79,2018-11-01,2.7471586658790272
23,120,80.36396102918658,80,2018-12-01,0.3639610291865836
0,81,94.14402345487906,91,2017-01-01,3.1440234548790613
1,81,90.39050801374513,88,2017-02-01,2.3905080137451336
2,81,88.5030500113747,90,2017-03-01,1.4969499886253033
3,81,89.05570069142568,84,2017-04-01,5.055700691425685
4,81,85.55266413277492,101,2017-05-01,15.447335867225078
5,81,95.06804176769076,105,2017-06-01,9.931958232309242
6,81,102.66721599577437,112,2017-07-01,9.33278400422563
7,81,109.30524774858702,94,2017-08-01,15.305247748587021
8,81,99.62959489654439,96,2017-09-01,3.62959489654439
9,81,95.76833864568562,111,2017-10-01,15.231661354314383
10,81,105.56686785115805,92,2017-11-01,13.566867851158051
11,81,97.59255610703742,90,2017-12-01,7.592556107037424
12,81,91.3258616074821,98,2018-01-01,6.674138392517904
13,81,95.03852548171061,66,2018-02-01,29.038525481710607
14,81,76.31734789167298,95,2018-03-01,18.68265210832702
15,81,85.84077184241775,91,2018-04-01,5.159228157582248
16,81,90.43506976945946,111,2018-05-01,20.56493023054054
17,81,103.80784847347881,103,2018-06-01,0.8078484734788134
18,81,104.7835177221186,91,2018-07-01,13.783517722118603
19,81,95.43126113356965,111,2018-08-01,15.568738866430351
20,81,104.19371659973297,115,2018-09-01,10.806283400267034
21,81,112.34064944007154,106,2018-10-01,6.3406494400715445
22,81,108.88080499506816,98,2018-11-01,10.88080499506816
23,81,101.19343606482948,89,2018-12-01,12.193436064829484
0,113,120.16872281237931,98,2017-01-01,22.168722812379315
1,113,105.9498732469398,82,2017-02-01,23.949873246939802
2,113,89.20549654614902,87,2017-03-01,2.2054965461490212
3,113,85.49278652224187,99,2017-04-01,13.507213477758128
4,113,93.31366569872215,111,2017-05-01,17.686334301277853
5,113,104.99624473600046,126,2017-06-01,21.003755263999537
6,113,119.1532378243601,135,2017-07-01,15.846762175639896
7,113,130.45055978760846,102,2017-08-01,28.450559787608455
8,113,113.48049760635509,113,2017-09-01,0.48049760635508676
9,113,110.78013145876872,106,2017-10-01,4.780131458768722
10,113,107.41815371858561,111,2017-11-01,3.5818462814143857
11,113,109.14876291957461,111,2017-12-01,1.851237080425392
12,113,110.2226139180365,96,2018-01-01,14.222613918036501
13,113,101.18094378689426,73,2018-02-01,28.18094378689426
14,113,81.93273889558374,106,2018-03-01,24.06726110441626
15,113,94.51482576396549,103,2018-04-01,8.48517423603451
16,113,101.04467933395793,119,2018-05-01,17.95532066604207
17,113,112.7685032746063,116,2018-06-01,3.231496725393697
18,113,115.6638426771024,112,2018-07-01,3.6638426771023944
19,113,113.35232474812507,108,2018-08-01,5.352324748125071
20,113,109.38234185123116,112,2018-09-01,2.6176581487688395
21,113,110.37263429503572,104,2018-10-01,6.3726342950357235
22,113,106.30781904021292,97,2018-11-01,9.30781904021292
23,113,99.70813006869061,94,2018-12-01,5.708130068690608
0,44,191.5339945350637,194,2017-01-01,2.466005464936302
1,44,190.6624240783666,169,2017-02-01,21.662424078366598
2,44,177.4186393771022,173,2017-03-01,4.41863937710221
3,44,169.15122767126402,172,2017-04-01,2.8487723287359756
4,44,173.12655674999104,155,2017-05-01,18.12655674999104
5,44,159.96606739660686,196,2017-06-01,36.03393260339314
6,44,182.4242044000418,174,2017-07-01,8.424204400041788
7,44,185.81181467611762,197,2017-08-01,11.18818532388238
8,44,187.93984838854772,168,2017-09-01,19.939848388547716
9,44,180.07915184206541,174,2017-10-01,6.079151842065414
10,44,168.89151922794036,157,2017-11-01,11.891519227940364
11,44,163.1334798590661,192,2017-12-01,28.866520140933886
12,44,179.5080139328369,166,2018-01-01,13.508013932836889
13,44,179.01602543277798,143,2018-02-01,36.01602543277798
14,44,147.04452918699218,169,2018-03-01,21.95547081300782
15,44,158.57424357021702,155,2018-04-01,3.574243570217021
16,44,162.48244104410875,199,2018-05-01,36.517558955891246
17,44,183.85473211110462,198,2018-06-01,14.145267888895376
18,44,204.1444921383887,202,2018-07-01,2.1444921383886992
19,44,201.21416517783032,180,2018-08-01,21.214165177830324
20,44,187.7647249548054,156,2018-09-01,31.764724954805388
21,44,160.85968252452372,133,2018-10-01,27.85968252452372
22,44,136.6260939619081,113,2018-11-01,23.62609396190811
23,44,115.330251383143,173,2018-12-01,57.66974861685701
0,107,104.74258445083848,107,2017-01-01,2.2574155491615215
1,107,103.87448444918945,79,2017-02-01,24.874484449189453
2,107,91.18545252577239,92,2017-03-01,0.8145474742276093
3,107,89.33043497840715,60,2017-04-01,29.330434978407155
4,107,73.40763399312816,90,2017-05-01,16.592366006871842
5,107,78.66212536955918,96,2017-06-01,17.337874630440822
6,107,88.27241809470998,100,2017-07-01,11.727581905290023
7,107,96.8853815351406,83,2017-08-01,13.885381535140596
8,107,90.45398737016029,89,2017-09-01,1.4539873701602914
9,107,87.91748708352698,101,2017-10-01,13.082512916473021
10,107,93.84658811990322,117,2017-11-01,23.153411880096783
11,107,107.37598239126228,97,2017-12-01,10.375982391262283
12,107,104.38990883331257,84,2018-01-01,20.389908833312575
13,107,92.81726416193754,85,2018-02-01,7.817264161937544
14,107,85.86837514023864,69,2018-03-01,16.86837514023864
15,107,76.02136821506397,74,2018-04-01,2.0213682150639727
16,107,73.14644763292779,78,2018-05-01,4.853552367072211
17,107,74.82218978468855,80,2018-06-01,5.177810215311453
18,107,77.96813337803955,89,2018-07-01,11.031866621960447
19,107,83.95262662265125,99,2018-08-01,15.047373377348748
20,107,92.68882960219757,97,2018-09-01,4.311170397802428
21,107,96.34173645916319,93,2018-10-01,3.3417364591631866
22,107,94.84936737443542,81,2018-11-01,13.849367374435417
23,107,86.81818395861875,83,2018-12-01,3.8181839586187465
0,34,123.13866484965189,115,2017-01-01,8.138664849651889
1,34,116.97162614801073,98,2017-02-01,18.971626148010728
2,34,108.44109944940672,107,2017-03-01,1.441099449406721
3,34,106.18609811073438,110,2017-04-01,3.8139018892656225
4,34,106.96176881500293,135,2017-05-01,28.038231184997073
5,34,123.01736473844113,122,2017-06-01,1.017364738441131
6,34,123.76375567378696,123,2017-07-01,0.7637556737869602
7,34,125.39881829395144,108,2017-08-01,17.398818293951436
8,34,115.12247570099942,118,2017-09-01,2.8775242990005836
9,34,116.3385777888476,111,2017-10-01,5.338577788847601
10,34,112.6855627418652,97,2017-11-01,15.685562741865198
11,34,105.0132202464082,112,2017-12-01,6.986779753591804
12,34,107.69878916912712,107,2018-01-01,0.6987891691271244
13,34,106.68244566412562,104,2018-02-01,2.6824456641256234
14,34,106.50751588296228,100,2018-03-01,6.507515882962281
