,precinct,prediction,observed,date,mae
9,23,86.50201783570539,76,2017-10-01,10.502017835705388
10,23,80.25418507695215,69,2017-11-01,11.254185076952155
11,23,72.77364357544437,82,2017-12-01,9.226356424555632
12,23,77.89307505194093,74,2018-01-01,3.893075051940926
13,23,75.52486022525143,58,2018-02-01,17.52486022525143
14,23,65.7097140196432,74,2018-03-01,8.2902859803568
15,23,69.96481864398174,54,2018-04-01,15.964818643981744
16,23,59.914121731062,86,2018-05-01,26.085878268938004
17,23,75.17426257192818,70,2018-06-01,5.174262571928182
18,23,72.61759303041264,75,2018-07-01,2.3824069695873646
19,23,75.13811706451037,91,2018-08-01,15.861882935489632
20,23,83.53643351018984,82,2018-09-01,1.5364335101898376
21,23,83.83555657598586,74,2018-10-01,9.835556575985862
22,23,78.99411677624776,62,2018-11-01,16.994116776247765
23,23,68.32828145849047,60,2018-12-01,8.328281458490466
0,40,200.64727705641093,212,2017-01-01,11.352722943589072
1,40,207.70894291652,170,2017-02-01,37.70894291651999
2,40,183.33520867658777,209,2017-03-01,25.66479132341223
3,40,198.1753155836949,195,2017-04-01,3.1753155836948963
4,40,199.02501535507653,193,2017-05-01,6.025015355076533
5,40,194.9719075397146,213,2017-06-01,18.028092460285393
6,40,207.06376512685623,261,2017-07-01,53.936234873143775
7,40,245.64509813241438,223,2017-08-01,22.645098132414375
8,40,234.6423744204308,191,2017-09-01,43.6423744204308
9,40,205.32492759121726,208,2017-10-01,2.6750724087827393
10,40,205.69701052300675,226,2017-11-01,20.302989476993247
11,40,219.5258394747626,198,2017-12-01,21.52583947476259
12,40,206.57730836363064,181,2018-01-01,25.577308363630635
13,40,189.9382339868785,168,2018-02-01,21.938233986878487
14,40,174.0910784425813,190,2018-03-01,15.908921557418694
15,40,184.59984765995483,190,2018-04-01,5.400152340045167
16,40,188.57798914057167,209,2018-05-01,20.422010859428326
17,40,203.6274973133574,213,2018-06-01,9.372502686642605
18,40,210.91491475126554,213,2018-07-01,2.085085248734458
19,40,213.4931668269116,248,2018-08-01,34.50683317308841
20,40,237.89551864737714,192,2018-09-01,45.895518647377145
21,40,208.74025576679094,188,2018-10-01,20.740255766790938
22,40,195.20632610980502,173,2018-11-01,22.20632610980502
23,40,178.59256597162434,174,2018-12-01,4.592565971624339
0,47,220.66334134790046,204,2017-01-01,16.663341347900456
1,47,217.4042702218096,167,2017-02-01,50.40427022180961
2,47,189.6397853899176,189,2017-03-01,0.6397853899175914
3,47,183.7753077857589,218,2017-04-01,34.22469221424109
4,47,202.07067519734784,213,2017-05-01,10.929324802652161
5,47,212.37227454725377,241,2017-06-01,28.627725452746233
6,47,229.7862129614394,239,2017-07-01,9.21378703856061
7,47,237.71302666945022,225,2017-08-01,12.713026669450215
8,47,232.88647713374394,179,2017-09-01,53.88647713374394
9,47,202.1293575282773,211,2017-10-01,8.870642471722704
10,47,202.93880982178484,200,2017-11-01,2.9388098217848437
11,47,201.8219158358747,170,2017-12-01,31.821915835874705
12,47,185.7523360551798,179,2018-01-01,6.752336055179796
